name	value
citation	doi:10.1038/nmeth.2276
qiita-id	1517
raw-data-url-forward-read	https://dl.dropboxusercontent.com/u/2868868/data/mockrobiota/mock-11/mock-forward-read.fastq.gz
raw-data-url-reverse-read	NA
raw-data-url-index-read	https://dl.dropboxusercontent.com/u/2868868/data/mockrobiota/mock-11/mock-index-read.fastq.gz
human-readable-description	A mock community composed of 11 fungal strains plus human DNA, represented in equal abundances in a single sample. This was generated by the Broad Institute in 2011, and the sequencing data was contributed by Dr. Laura Parfrey at University of Colorado, Boulder, in 2012.
bokulich2013-id	dataset-5
bokulich2015-id	NA
target-gene	18S
target-subfragment	18S
study-type	marker-gene
sequencing-instrument	illumina-hiseq
physical-specimen-available	No
contact-email	lwparfrey@botany.ubc.ca
