name	value
citation	https://dx.doi.org/10.7287/peerj.preprints.934v2
qiita-id	1974
raw-data-url-forward-read	https://dl.dropboxusercontent.com/u/2868868/data/mockrobiota/mock-9/mock-forward-read.fastq.gz
raw-data-url-reverse-read	https://dl.dropboxusercontent.com/u/2868868/data/mockrobiota/mock-9/mock-reverse-read.fastq.gz
raw-data-url-index-read	https://dl.dropboxusercontent.com/u/2868868/data/mockrobiota/mock-9/mock-index-read.fastq.gz
target-gene	ITS
target-subfragment	ITS1
study-type	marker-gene
sequencing-instrument	illumina-hiseq
physical-specimen-available	No
contact-email	benjamin.wolfe@tufts.edu
