Taxonomy	mock.1
Acidobacterium capsulatum ATCC 51196	0.0169491525
Akkermansia muciniphila ATCC BAA-835	0.0169491525
Anaerocellum thermophilum Z-1320, DSM 6725	0.0169491525
Archaeoglobus fulgidus DSM 4304	0.0169491525
Bacteroides thetaiotaomicron VPI-5482	0.0169491525
Bacteroides vulgatus ATCC 8482	0.0169491525
Bordetella bronchiseptica RB50	0.0169491525
Burkholderia xenovorans LB400	0.0169491525
Caldicellulosiruptor saccharolyticus DSM 8903	0.0169491525
Chlorobaculum tepidum TLS	0.0169491525
Chlorobium limicola DSM 245	0.0169491525
Chlorobium phaeobacteroides DSM 266	0.0169491525
Chlorobium phaeovibrioides DSM 265	0.0169491525
Chloroflexus aurantiacus J-10-fl 	0.0169491525
Clostridium thermocellum ATCC 27405	0.0169491525
Deinococcus radiodurans R1	0.0169491525
Desulfovibrio desulfuricans desulfuricans ATCC 27774	0.0169491525
Desulfovibrio piger ATCC 29098	0.0169491525
Dictyoglomus turgidum DSM 6724	0.0169491525
Enterococcus faecalis V583v	0.0169491525
Erwinia chrysanthemi	0.0169491525
Fusobacterium nucleatum nucleatum ATCC 25586	0.0169491525
Gemmatimonas aurantiaca T-27T Archaea	0.0169491525
Herpetosiphon aurantiacus ATCC 23779	0.0169491525
Hydrogenobaculum sp. Y04AAS1	0.0169491525
Ignicoccus hospitalis KIN4/I	0.0169491525
Leptothrix cholodnii SP-6	0.0169491525
Methanocaldococcus jannaschii DSM 2661	0.0169491525
Methanococcus maripaludis C5	0.0169491525
Methanococcus maripaludis S2	0.0169491525
Nanoarchaeum equitans Kin4-M	0.0169491525
Nitrosomonas europaea ATCC 19718	0.0169491525
Nostoc sp. PCC 7120	0.0169491525
Pelodictyon phaeoclathratiforme BU-1	0.0169491525
Persephonella marina EX-H1	0.0169491526
Porphyromonas gingivalis ATCC 33277	0.0169491526
Pyrobaculum aerophilum IM2	0.0169491526
Pyrobaculum calidifontis JCM 11548	0.0169491526
Pyrococcus horikoshii OT3	0.0169491526
Rhodopirellula baltica SH 1	0.0169491526
Rhodospirillum rubrum ATCC 11170	0.0169491526
Ruegeria pomeroyi DSS-3	0.0169491526
Salinispora arenicola CNS-205	0.0169491526
Salinispora tropica CNB-440	0.0169491526
Shewanella baltica OS185	0.0169491526
Shewanella baltica OS223	0.0169491526
Sulfitobacter sp. EE-36	0.0169491526
Sulfitobacter sp. NAS-14.1	0.0169491526
Sulfolobus tokodaii 7(S311)	0.0169491526
Sulfurihydrogenibium sp. YO3AOP1	0.0169491526
Sulfurihydrogenibium yellowstonense SS-5	0.0169491526
Thermoanaerobacter pseudethanolicus ATCC 33223	0.0169491526
Thermotoga neapolitana DSM 4359	0.0169491526
Thermotoga petrophila RKU-1	0.0169491526
Thermotoga sp. RQ2	0.0169491526
Thermus thermophilus HB8	0.0169491526
Treponema denticola ATCC 35405	0.0169491526
Treponema vincentii I	0.0169491526
Zymomonas mobilis mobilis ZM4	0.0169491526
