name	value
citation	https://dx.doi.org/10.7287/peerj.preprints.934v2
qiita-id	1973
raw-data-url-forward-read	https://s3-us-west-2.amazonaws.com/mockrobiota/latest/mock-8/mock-forward-read.fastq.gz
raw-data-url-reverse-read	https://s3-us-west-2.amazonaws.com/mockrobiota/latest/mock-8/mock-reverse-read.fastq.gz
raw-data-url-index-read	https://s3-us-west-2.amazonaws.com/mockrobiota/latest/mock-8/mock-index-read.fastq.gz
target-gene	16S
target-subfragment	V4
study-type	marker-gene
sequencing-instrument	illumina-hiseq
physical-specimen-available	No
contact-email	peter.turnbaugh@ucsf.edu
