k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Edwardsiella; s__	4441228	367809	324225	788593	361605
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__hathewayi	205916	106574	2250345	1707496	90431
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__adolescentis	308034	359098	193082	198691	4432638	368477	557948	235262	469850	338124	584375	358189	805132	370225	538514	71274	4347159	359448	579407	810722	369770	36261	588954	330343	322549	309215	149324	554085	50025
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__celatum	4315688	16230
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Anaerotruncus; s__	311961	367814	2748888	4342104	2437975	1983368	315223	4482932
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Providencia; s__	1129328	662249	2201324	300729	101727	781971	194664	662160	752247	234148	4484364	697567	4448291	10214	10211	10212	3972451	365184	623524	629085	298880	673975	825989	550960	234473	804353	2654261	206430	4311115	4345333	4448255	4345464	4367102	1122622	592303	4377925	609704	4441147	4484466	692645	686902
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__putredinis	260579
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__	4379957	195512	368130	4462422	171279	2485146	2668943	2833741	186624	3304796	4452187	191110	181864	178766	3203524	3988724	4344637	197951	186804	3926480	4407390	187256	2096657	2096654	345542	2203169	1912415	197079	3484497	198597	187265	178192	4381508	198542	195780	2100246	4444307	4360061	365634	2704258	1751298	4396888	532028	3964308	4407389	4407388	189636	4415655	193454	4344860	4344863	4406161	313593	3484503	188357	2082366	177055	193887	3149040	3889296	3021226	368905	4383927	4422039	3318103	2724174	2724172	4336728	4428949	2333876	2951405	4415649	171399	4366911	4363554	149772	4072219	4072210	2250985	4375442	2123719	2200895	197207	327730	518613	1740283	178161	177830	4070772	4365300	178751	369089	28914	4444254	4394977	183303	180654	701221	4428953	3014077	1603894	4469206	188696	4365291	300222	4373150	181189	185411	2704257	1520165	261698	276643	4418787	246544	4340103	317902	4327465	362255	3694834	4447343	3192831	183668	301462	4354425	4332082	4325630	181501	392887	176690	3393191	4041295	177241	2831841	4461756	175612	1636493	531436	187218	2467292	300235	4373152	2077386	215932	4371302	536831	4417530	4325030	177237	184034	328892	832036	210830	3874250	197077	1630016	176346	524533	254376	365492	4451292	176689	3438641	3259781	195493	850115	3668830	3668832	2438203	2432012	195207	4483379	4335815	1928156	271593	174262	367899	4357268	4080511	187633	195719	4159751	805192	234314	1742062	4424014	4333425	182560	320813	3425891	177135	3152469	4424016	179472	102506	4388170	50105	319197	195086	3865291	541602	525426	4462543	4361120	3228849	288961	3450449	4333431	4128373	213810	4438955	174998	359007	2918721	4429783	319595	4481427	3857415	187447	192577	198508	4095178	2176884	177515	210092	528362	308907	183198	347998	3272619	194053	3713805	362604	4396890	4414044	4087645	4470028	4428555	180192	4336731	191833	197767	1625580	2065795	2065799	197760	198494	198493	180372	2434189	3450456	3450454	3450455	4470708	4129357	4455153	177564	305046	4458653	182065	4389830	293221	178632	4429219	4365294	4414488	162623	2835371	353124	508968	1860111	525474	2497067	367958	180874	522134	4271061	4438194	3612544	510026	4375894	169255	2978043	3765805	2890864	199643	176975	4380813	4289139	274004	186471	4410740	191856	322114	4072220	175692	4370809
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	345899	300872	3119180	523246	183598	777794	294270	1110742	519417	521783	521784	523961	519998	518641	533320	715743	288174	203890	839865	524827	313121	927100	1108595	531904	779876	519342	302285	514769	115506	515870	531240	302983	532039	515162	4406684	4318208	245767	296597	512515	515982	586354	528314	323239	189284	516464	523522	518851	524100	348750	4354987	297113	293127	582564	4406933	4410166	521915	4420980	849544	589891	518747	532477	517908	195206	531699	4451171	4352452	519980	176675	339221	123983	4309368	511256	522907	4482723	511597	4335001	519550	528329	360425	528620	298451	4415433	513870	3091637	4410567	119397	115991	287717	4383727	531254	513113	517143	184464	526701	589329	4295618	528890	843972	525355	525357	291058	365358	551635	530653	530650	526429	524124	848619	531370	196806	516453	4436552	329280	189432	294573	188629	4303701	338752	4326687	692019	38507	525880	362089	189521	191319	327728	2300731	295934	524891	4343476	615191	4306374	523498	520056	182798	300684	196729	4377046	308809	516837	525461	2888723	180825	524963	4319784	4319780	316362	301656	529311	4301001	4298748	511743	516332	515082	190025	526993	333074	532396	516225	545061	339561	610673	303503	194294	849060	151386	524116	512937	269138	925131	4439144	188921	558839	321875	524964	517619	328936	294560	3035308	294134	525582	523443	4304880	841502	513003	532413	1575991	299830	592140	291438	225945	519443	4456491	343094	4298648	4443159	1085984	1135163	324843	4301461	317337	845644	844594	520195	527874	344318	2255989	509703	4357680	4357682	293584	296519	518820	845072	844305	4440171	519069	538485	4327034	325046	532041	528488	524072	525239	519797	1986400	517996	292799	321308	338913	289257	850343	510759	525348	520294	520295	4408223	521520	517784	518150	530447	531614	364967	292640	523335	198786	529428	214609	321083	4324217	4301605	301253	186364	295554	329693	531173	517304	4436040	530230	515798	116450	4298650	523090	840771	4437108	519244	294250	846306	529271	329650	529337	300650	4308041	4459159	526623	515521	308048	530050	4341867	840914	577027	301923	2986753	520803	326482	4310644	525229	4446027	4446025	4303954	519101	513377	528783	845231	850370	4348607	354322	528818	519697	188652	523308	526174	526171	186974	529534	366506	530319	292921	294617	530487	843421	848314	509109	4347155	516151	530531	511813	523252	610859	526312	524531	588929	523121	196481	655310	848950	330205	4335530	356625	301626	524619	526437	525178	529185	728234	519007	528079	4412255	527333	517691	520595	520593	516565	521244	291752	517558	586062	513611	521957	843618	292041	528233	527203	520962	561194	4344909	592925	522627	4367810	850034	525064	196296	341421	2280817	297414	844726	515995	511401	521431	523487	521737	529505	588173	313329	511028	4398579	349786	122608	291409	521640	839972	539050	346938	516875	550372	301489	514269	515470	844466	516093	846327	723256	185170	512752	519458	72142	329728	516259	298841	360096	2037235	339457	4321532	191586	369435	4443944	298189	529745	189253	334392	510416	307154	291725	299764	4385666	4305534	844744	512004	529800	510703	520955	509636	525511	1974540	581089	632169	684861	4307105	4343156	302420	293939	4404224	294521	530597	292634	4437101	516894	178387	295421	843563	510530	187628	303283	524865	522853	4364958	531114	527941	514723	215670	336769	288795	3028550	182559	846333	181539	513417	520883	511730	560771	293717	517015	195574	4404826	525306	521356	296552	292707	846562	587839	516229	515945	4452449	654098	2550241	302911	511156	522413	348612	520573	312969	578496	517572	185522	568118	287476	336372	190526	195099	296374	523862	531755	300099	4314088	3285436	514512	197149	366904	513249	513245	314613	343590	198502	293843	514486	301421	307571	522948	522099	313152	349352	348298	302389	521513	210523	529345	4316972	531106	526801	117761	519915	515189	849493	515381	520785	520780	516731	302813	333028	645768	4372155	4412542	516274	337516	517068	531485	300106	186315	527286	513242	512960	306228	192723	509587	4388216	4388215	509878	580162	364074	3189210	513335	849535	363513	519768	527085	1031634	523851	527604	321145	560836	516236	526273	849625	294196	197763	521760	528130	328035	635544	521157	511418	515734	531139	300636	297270	522392	527516	588647	296442	531381	512781	532013	261330	515108	676089	522364	525322	526674	519166	850154	4459041	335566	298394	530725	4428120	290254	301048	1921615	350627	582363	309399	173565	533771	561151	753803	516530	178860	851016	4463414	905528	521203	629970	579740	526547	1045110	4324238	513326	4374240	4475169	530948	404901	4407964	845377	515539	4324243	519695	532450	592612	514575	517885	849779	189083	4411926	4411924	523357	331358	4445628	510855	291812	4307957	198733	845567	909561	339374	521175	566574	528303	842874	515712	2075910	531120	531121	1763824	522084	516325	323619	197994	195732	4313208	521199	347953	519347	524909	638461	518325	272155	529398	515170	523608	4409103	296243	546206	289983	530738	582888	342638	189358	528116	174831	526031	526034	522642	520866	518097	185647	2316611	321743	517822	183282	521450	521558	304851	519704
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__	135947	4322379	2065341	199106	194424	272479	1770404	181560	335910	4337981	727140	368228	972100	14069	4354857	194734	4431595	305820	357449	295629	520146	524122	538837	176201	530282	199313	182943	4369794	179617	327083	175389	195728	190641	29079	589475	349236	527294	928569	230252	2876160	194065	328422	517154	71089	522464	523731	188194	4478815	292336	126767	3090048	607540	519142	530708	528157	828776	177984	516191	529290	222721	4307633	678143	520534	570683	509842	530475	263704	176129	327839	820362	193975	245596	177362	114970	182968	4341193	191993	179677	197630	518460	187728	655876	361964	3475273	522063	199228	1646166	350398	185235	573803	176300	175320	324985	158563	300123	4478606	4478605	195669	339791	511253	209524	3541299	4418252	178146	528320	178433	199300	3160508	179626	296960	194123	199491	1105328	192263	181853	360147	1133438	1061437	372622	95597	181425	1130781	1904161	527407	4310265	72606	178481	4413165	328438	833216	263808	386216	259593	1803030	185546	517498	4194837	192465	574263	4442213	48887	198829	269576	333259	186592	185667	185664	185631	266621	4316573	222733	181672	4405104	593686	186969	325588	188621	188625	300297	193969	297165	1112936	197603	324615	818838	199013	100450	312317	352747	196971	290502	185312	329356	174137	540532	1107586	591540	265576	752354	565563	311114	521604	176296	183680	178559	198555	2637276	178557	2510541	660214	332846	311206	212878	4450516	271449	366299	178421	188079	194971	297574	297575	516298	325126	578511	198373	4374193	1856438	192218	1678333	261111	179377	4428676	653533	510169	194001	4391085	186731	517170	194008	175942	192066	197971	515594	222851	72481	301879	184525	300254	181348	289245	4390266	208571	300596	561193	365093	68840	343981	173934	4307265	4307264	184770	191881	541647	763697	3745959	148304	197112	536281	194261	181437	191238	191236	4250085	519490	520275	367688	525705	301910	183781	188066	510573	425675	319153	573289	198126	1106830	187748	192958	271097	199052	177111	1139736	199158	198688	844645	519545	190875	4402978	531052	294709	178682	198018	544146	208901	525606	178165	4307544	521074	299398	3425927	3425924	302864	300647	803021	117787	194104	191687	186614	195532	341899	194693	2245543	19446	686087	160750	301100	20421	187356	524079	178879	4319479	259989	272942	328993	300952	367755	833381	77516	288747	177754	179946	278018	184553	321304	275964	4346424	269496	197675	713689	355460	306288	4410369	3462417	180449	352507	518984	301282	345801	189419	197022	215744	172622	185861	337054	849653	336247	270145	4474180	4348358	185765	4382003	184025	183799	182681	184120	323786	23653	179372	764292	4339830	529417	273278	179137	651044	519459	308983	274455	176336	14101	184096	186174	196097	305920	1109750	289658	542857	4367501	382721	99824	4454564	300759	261381	1107057	182903	3272759	4459156	349077	185741	4425669	3150552	186780	528067	137353	520231	194877	514117	174912	196929	685934	177586	313495	195435	180791	187212	326833	520973	2729100	180555	260787	182621	183973	174625	315309	266539	825201	279487	530960	195196	267514	303412	341730	521401	3401744	556240	181894	294791	188047	174045	510559	4376453	186319	192139	266392	4139860	191081	194758	2400907	366623	318651	269828	588414	1085274	175717	3876354	199276	174099	195744	567961	417458	196087	514272	529463	209741	655725	47862	350577	304154	144778	397065	4350702	521257	3325991	365349	223895	233648	321331	4481948	211795	187185	517035	529180	3736962	357321	189611	32228	338987	182343	553150	3141342	189797	147195	332411	743919	538611	353577	262990	1107327	343422	189130	177301	310541	188974	188973	4421997	312835	531772	189478	77449	186238	194572	197003	195189	197127	196290	526248	1761073	261841	525437	526164	4419650	518717	302128	754549	232283	524797	742418	176494	216009	355318	3699347	530194	517212	774047	4302724	4452297	178514	261290	176357	4348263	366721	293508	261153	159911	175846	4322534	182289	237273	291890	179737	3325984	520734	362959	527413	177518	528833	193163	177493	842596	4308498	2752425	184357	4441688	185609	268215	340572	523553	306200	266726	513930	321907	290350	302437	264306	25995	185519	300399	515129	177760	177761	177765	179911	1138850	192530	194359	579188	195324	313387	526159	354254	4365156	231128	49521	268424	3377770	263074	260496	198252	106366	525789	100506	367889	733028	528217	199066	525429	525420	193551	114994	177201	180393	181047	557137	1126322	174559	190984	184821	328055	187782	187114	4430604	323473	108706	331099	313161	311141	4463709	316598	274400	177845	290943	198390	342200	221028	514250	174629	272361	4296775	4296772	3397591	1113649	3822361	4327890	179257	530433	552314	177933	206151	563315	179687	217060	1130562	175883	197897	4373309	275725	551141	182056	515632	3325759	196859	196850	1062229	328453	524038	185703	4471854	175438	184656	522667	526449	516068	259772	508897	311610	529764	182538	1587376	192060	986484	173969	181269	189450	189459	300095	4309509	199042	194557	177172	262227	199137	547913	289161	195162	194417	641987	199077	190599	205613	291512	456774	32471	274704	109798	178621	178629	174019	1110690	323365	532832	195628	835283	344803	369502	3910530	323463	266062	521586	4474844	828230	517239	230528	184901	184905	186674	342217	195716	441799	3931706	514241	178961	181918	272354	346606	337821	182545	179267	181543	264100	2876158	3648884	517182	523749	540943	179695	804526	289402	365118	833350	578437	178686	311390	182054	528106	186819	188573	189626	4314294	22602	532377	4308637	38211	185477	510186	4454896	37010	14099	510431	4373032	343934	367453	516519	4476330	186921	370305	185532	303844	197769	189878	184580	184581	190534	1144037	177359	289348	4322943	352455	166156	183533	183140	518795	187470	191565	531746	180120	306848	368118	341204	195929	322189	199081	178201	181025	183883	179055	325279	574172	278439	192878	261634	307722	324835	137004	2740950	193621	184050	646321	3252461	232030	4335402	515485	972434	308774	178970	182274	289349	296446	4341537	874183	423041	179273	3262332	363919	578857	274857	178882	826302	298392	185715	3745953	4369797	325625	4478901	196838	4329776	815573	4302392	4449239	523622	519866	584481	848088	182118	321774	186286	183558	672978	524635	583237	525112	198737	530940	177463	520237	4348571	183057	4379277	197249	233161	4406986	717509	178238	531825	4369249	172487	4323727	574601	187569	199600	288161	4477372	550996	149233	358834	189677	349375	274577	653719	508954	357834	528052	550270	524287	230503	188918	175397	576833	198067	322231	178984	177058	514389	2266460	4444215	178051	386087	668150	336205	4466707	726712	510133	187868	184013	707653	516624	4403632	178205	652388	124753	301079	309206	196426	102159	189152	311693	415635	188128	196053	647705	360710	585881	99173	183288	195876	295251	195044	258416	177525	175697	181176	553842
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__	352607	1147903	302647	4318139	180467	4345173	187490	414949	193436	572680	289308	147071	1132453	290572	287705	365212	187312	301826	415315	290985	300347	303693	299855	189997	344601
