k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__longicatena	470236
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Ruminococcus; s__lactaris	348006
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Providencia; s__	1129328	662249	2201324	300729	101727	781971	194664	662160	752247	234148	4484364	697567	4448291	10214	10211	10212	3972451	365184	623524	629085	298880	673975	825989	550960	234473	804353	2654261	206430	4311115	4345333	4448255	4345464	4367102	1122622	592303	4377925	609704	4441147	4484466	692645	686902
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__eggerthii	196781	4418224	192111	316761	344525	2865887	322715	4414420	333904	312770	839512	308116	185242	185730	314355	328028	198042	3078863	347453	304076
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__	352607	1147903	302647	4318139	180467	4345173	187490	414949	193436	572680	289308	147071	1132453	290572	287705	365212	187312	301826	415315	290985	300347	303693	299855	189997	344601
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]; s__	15724	1131759	815422	2822804	815356	222343	660880
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Proteus; s__	4382366	166692	4316741	614890	204864	4099196	4339194	4339195	4339197	4339193	4212180	4347655	10205	288234	1134136	4480511	4480512	892778	470879	837228	4321292	4368724	768553	76558	1746913	3610692	4099203	4099201	156753	685373	4360360	814112	4399787	4427273	3610691	3610694	3610695	4385479	4385472	4385473	3440955	3021149	560629	4379477	4338907	4480565	3610686	3610688	3195991	75554	4440497	202829	1127578	4402484
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__formicigenerans	175647	116123	176722	365459	4428022	275687	70405	178873	4393739	4401634	4232048	2842308	188249	185863	3769614	175159	198138	531566	4457603	524258	359355	186752	173945	351854	4424063	3779973	2199489	3094251	361166	4430704	3220518	2157494	1076587	309236	179665	261912	592412	4325013	360962	187707	197248	4015729	186652	199735	367457	179437	530953
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__	135947	4322379	2065341	199106	194424	272479	1770404	181560	335910	4337981	727140	368228	972100	14069	4354857	194734	4431595	305820	357449	295629	520146	524122	538837	176201	530282	199313	182943	4369794	179617	327083	175389	195728	190641	29079	589475	349236	527294	928569	230252	2876160	194065	328422	517154	71089	522464	523731	188194	4478815	292336	126767	3090048	607540	519142	530708	528157	828776	177984	516191	529290	222721	4307633	678143	520534	570683	509842	530475	263704	176129	327839	820362	193975	245596	177362	114970	182968	4341193	191993	179677	197630	518460	187728	655876	361964	3475273	522063	199228	1646166	350398	185235	573803	176300	175320	324985	158563	300123	4478606	4478605	195669	339791	511253	209524	3541299	4418252	178146	528320	178433	199300	3160508	179626	296960	194123	199491	1105328	192263	181853	360147	1133438	1061437	372622	95597	181425	1130781	1904161	527407	4310265	72606	178481	4413165	328438	833216	263808	386216	259593	1803030	185546	517498	4194837	192465	574263	4442213	48887	198829	269576	333259	186592	185667	185664	185631	266621	4316573	222733	181672	4405104	593686	186969	325588	188621	188625	300297	193969	297165	1112936	197603	324615	818838	199013	100450	312317	352747	196971	290502	185312	329356	174137	540532	1107586	591540	265576	752354	565563	311114	521604	176296	183680	178559	198555	2637276	178557	2510541	660214	332846	311206	212878	4450516	271449	366299	178421	188079	194971	297574	297575	516298	325126	578511	198373	4374193	1856438	192218	1678333	261111	179377	4428676	653533	510169	194001	4391085	186731	517170	194008	175942	192066	197971	515594	222851	72481	301879	184525	300254	181348	289245	4390266	208571	300596	561193	365093	68840	343981	173934	4307265	4307264	184770	191881	541647	763697	3745959	148304	197112	536281	194261	181437	191238	191236	4250085	519490	520275	367688	525705	301910	183781	188066	510573	425675	319153	573289	198126	1106830	187748	192958	271097	199052	177111	1139736	199158	198688	844645	519545	190875	4402978	531052	294709	178682	198018	544146	208901	525606	178165	4307544	521074	299398	3425927	3425924	302864	300647	803021	117787	194104	191687	186614	195532	341899	194693	2245543	19446	686087	160750	301100	20421	187356	524079	178879	4319479	259989	272942	328993	300952	367755	833381	77516	288747	177754	179946	278018	184553	321304	275964	4346424	269496	197675	713689	355460	306288	4410369	3462417	180449	352507	518984	301282	345801	189419	197022	215744	172622	185861	337054	849653	336247	270145	4474180	4348358	185765	4382003	184025	183799	182681	184120	323786	23653	179372	764292	4339830	529417	273278	179137	651044	519459	308983	274455	176336	14101	184096	186174	196097	305920	1109750	289658	542857	4367501	382721	99824	4454564	300759	261381	1107057	182903	3272759	4459156	349077	185741	4425669	3150552	186780	528067	137353	520231	194877	514117	174912	196929	685934	177586	313495	195435	180791	187212	326833	520973	2729100	180555	260787	182621	183973	174625	315309	266539	825201	279487	530960	195196	267514	303412	341730	521401	3401744	556240	181894	294791	188047	174045	510559	4376453	186319	192139	266392	4139860	191081	194758	2400907	366623	318651	269828	588414	1085274	175717	3876354	199276	174099	195744	567961	417458	196087	514272	529463	209741	655725	47862	350577	304154	144778	397065	4350702	521257	3325991	365349	223895	233648	321331	4481948	211795	187185	517035	529180	3736962	357321	189611	32228	338987	182343	553150	3141342	189797	147195	332411	743919	538611	353577	262990	1107327	343422	189130	177301	310541	188974	188973	4421997	312835	531772	189478	77449	186238	194572	197003	195189	197127	196290	526248	1761073	261841	525437	526164	4419650	518717	302128	754549	232283	524797	742418	176494	216009	355318	3699347	530194	517212	774047	4302724	4452297	178514	261290	176357	4348263	366721	293508	261153	159911	175846	4322534	182289	237273	291890	179737	3325984	520734	362959	527413	177518	528833	193163	177493	842596	4308498	2752425	184357	4441688	185609	268215	340572	523553	306200	266726	513930	321907	290350	302437	264306	25995	185519	300399	515129	177760	177761	177765	179911	1138850	192530	194359	579188	195324	313387	526159	354254	4365156	231128	49521	268424	3377770	263074	260496	198252	106366	525789	100506	367889	733028	528217	199066	525429	525420	193551	114994	177201	180393	181047	557137	1126322	174559	190984	184821	328055	187782	187114	4430604	323473	108706	331099	313161	311141	4463709	316598	274400	177845	290943	198390	342200	221028	514250	174629	272361	4296775	4296772	3397591	1113649	3822361	4327890	179257	530433	552314	177933	206151	563315	179687	217060	1130562	175883	197897	4373309	275725	551141	182056	515632	3325759	196859	196850	1062229	328453	524038	185703	4471854	175438	184656	522667	526449	516068	259772	508897	311610	529764	182538	1587376	192060	986484	173969	181269	189450	189459	300095	4309509	199042	194557	177172	262227	199137	547913	289161	195162	194417	641987	199077	190599	205613	291512	456774	32471	274704	109798	178621	178629	174019	1110690	323365	532832	195628	835283	344803	369502	3910530	323463	266062	521586	4474844	828230	517239	230528	184901	184905	186674	342217	195716	441799	3931706	514241	178961	181918	272354	346606	337821	182545	179267	181543	264100	2876158	3648884	517182	523749	540943	179695	804526	289402	365118	833350	578437	178686	311390	182054	528106	186819	188573	189626	4314294	22602	532377	4308637	38211	185477	510186	4454896	37010	14099	510431	4373032	343934	367453	516519	4476330	186921	370305	185532	303844	197769	189878	184580	184581	190534	1144037	177359	289348	4322943	352455	166156	183533	183140	518795	187470	191565	531746	180120	306848	368118	341204	195929	322189	199081	178201	181025	183883	179055	325279	574172	278439	192878	261634	307722	324835	137004	2740950	193621	184050	646321	3252461	232030	4335402	515485	972434	308774	178970	182274	289349	296446	4341537	874183	423041	179273	3262332	363919	578857	274857	178882	826302	298392	185715	3745953	4369797	325625	4478901	196838	4329776	815573	4302392	4449239	523622	519866	584481	848088	182118	321774	186286	183558	672978	524635	583237	525112	198737	530940	177463	520237	4348571	183057	4379277	197249	233161	4406986	717509	178238	531825	4369249	172487	4323727	574601	187569	199600	288161	4477372	550996	149233	358834	189677	349375	274577	653719	508954	357834	528052	550270	524287	230503	188918	175397	576833	198067	322231	178984	177058	514389	2266460	4444215	178051	386087	668150	336205	4466707	726712	510133	187868	184013	707653	516624	4403632	178205	652388	124753	301079	309206	196426	102159	189152	311693	415635	188128	196053	647705	360710	585881	99173	183288	195876	295251	195044	258416	177525	175697	181176	553842
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__hathewayi	205916	106574	2250345	1707496	90431
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus	4471604	4471603	263179	322904	264569	264568	2464259	3052115	274491	339092	3679698	267335	167335	1551841	164872	275684	348772	182293	347549	175998	195729	4435690	195444	307452	4479887	194858	187041	174952	4388900	4361366	463648	2677481	260505	569207	186406	228686	4282302	210965	268487	3320406	4063474	2325822	4139471	4429455	174129	305880	4478512	4462416	269169	304999	303076	4426874	176308	2479014	187651	2897332	267996	185088	174314	358383	416286	3156520	195421	199753	188402	176858	266842	304103	198212	359412	173722	176704	184536	189176	344095	172220	269107	269103	1607371	259302	4344861	279026	264248	263737	3851393	173865	259781	193962	274399	3601770	330564	4322982	178374	555873	188090	410710	575399	259087	198690	294219	3392853	306480	1917420	2216521	197302	193702	3419664	562318	3157091	181845	260246	263138	261779	342397	3702906	174977	348642	271476	198916	4406232	198857	301872	260529	4481042	181666	1713225	1805553	68842	323424	3783179	4339978	4372625	183498	183495	4402081	181237	261720	1830364	263372	3578010	1921611	843693	193897	4338469	271191	2683271	183428	1758074	319214	307640	1764594	259132	273240	191755	2134884	308224	372770	182517	331575	4316995	4395465	199323	4476604	195470	2535521	4407317	3401807	259983	350664	4406226	4183249	270720	268297	355468	4343631	173922	333420	4439574	267298	4162582	263362	188333	191205	1895787	275034	267716	1828456	190863	3376513	173192	368262	54563	193853	178031	273776	182506	2281172	4362940	2797559	178851	4338803	256899	308042	4381759	4407301	577022	4410025	321408	266896	196889	170056	2686384	4420173	262869	190908	185570	253465	396230	270041	367610	266948	266946	173914	175575	4358973	189403	1869566	985239	1109178	196037	190711	150408	261013	261010	174360	4423882	191772	2953535	178026	178022	267503	340738	342887	1696607	167910	4407335	183327	348948	186749	326497	311564	192774	300499	181707	193300	3572894	358953	3252949	4298271	1880021	308565	183250	182631	183948	3633129	189474	274198	197435	1114415	4248867	188310	335966	1962281	4336564	270081	44883	363692	3433845	3433843	368191	663043	267717	348376	276260	552961	3278429	233313	181808	316037	183646	259818	4445864	296869	3044876	4394801	184810	2920317	4432459	262771	188860	4330142	3996373	270968	191583	4388174	185441	195215	4483366	336872	258711	317073	583406	196370	331803	342761	183248	270065	4018978	564805	191086	3647536	175491	188674	363436	357717	259263	260655	175371	1744265	3232644	193769	333775	264054	271585	185294	4400909	310803	2424149	4455571	258710	306914	4480550	360015	4472158	4471130	2797563	206424	307376	258969	316665	195439	4420639	229073	4420203	309370	186441	270758	195385	263946	181683	259379	4340719	4481420	185854	3161011	3359316	165146	183174	320844	1105836	4464473	263794	268416	184729	174162	4369812	265503	273862	4470786	3989849	185277	273386	181037	336448	182882	180221	188039	299070	2387025	4398511	287368	337992	262537	97294	1565017	27071	174464	273179	198434	271590	184903	1111191	449417	2953509	4383827	350032	272907	197503	198251	349142	330116	4356342	267892	2565881	192085	3111445	261918	3321163	4435054	135625	321446	4388396	2963627	164719	183191	193358	262825	543822	582811	274095	295782	277184	177090	313922	267105	276941	3826177	351734	3584775	401222	164034	4364241	274603	245108	272593	184695	259056	185891	2806899	198490	370162	307903	309916	268125	193749	313144	191476	2069792	4394762	4394763	198423	3750373	3409376	191135	2339949	197391	4438330	4412201	352008	179279	4384203	162216	318596	4390748	292294	181764	4426051	4409062	191683	372906	179815	268797	174841	180215	4390341	4416025	4087651	360831	571536	4414486	2911372	4366854	4366856	3641041	383971	185835	297509	263783	186332	4385577	289379	270015	180504	4471569	352445	310824	4334415	295075	187703	470969	4030829	1624382	2119414	274317	194780	2005562	4433829	262127	295370	320373	191246	190254	3982524	562693	260088	173379	14030	4290138	4414240	335701	2207546	2901239	386578	4371719	361624	321923	181568	588467	271968	4390754	262970	176963	262633	110221	2918718	273413	174676	290398	322112	318182	260401	586030	263327	188370	275913	190890	185338	4429446	585183
