Taxonomy	mock.1
Nitrobacter winogradskyi ATCC-14123	0.0666666667
Nitrosomonas europaea ATCC-19178	0.0666666667
Pseudomonas putida KT2440	0.0666666667
Gemmatimonas aurantiaca T-27	0.0666666667
Bacillus subtilis ATCC-6051	0.0666666667
Desulfovibrio vulgaris Hildenborough	0.0666666667
Clostridium acetobutylicum ATCC-824	0.0666666667
Microlunatus phosphovorus NM-1	0.0666666667
Anaerolinea thermophila UNI-1	0.0666666667
Treponema bryantii ATCC-33254	0.0666666667
Deinococcus grandis DSM-3963	0.0666666667
Bacteroides vulgatus ATCC-8482	0.0666666667
Escherichia coli DH5a	0.0666666667
Chloroflexus aurantiacus J-10-fl	0.0666666667
Desulfitobacterium hafniense DCB-2	0.0666666667
