k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__hathewayi	2250345
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]; s__biforme	329820	4295707	4410938	514773	515578	146665	182483	189812	530323	524884	193710	193776	342467	183161	297635	187336	174066	196727	527208	180112	179018	511209	179620	193623	525241	523132	197105
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Proteus; s__	3440955	768553	166692	814112	1746913	4321292	3610691	4385479	470879	4440497	892778	204864	560629	202829
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Anaerococcus; s__	612311	902837	495396	30062	14286	1033679	4349518	1039584	495095	364935	1090458	1059957	362308	219668	389048	14285	403258	1097113	4349519	1029165	134786	360635	365056	430691	224222	4466460	968363	451449	505565	4476950	1086240	1008689	937813	1147574	207936	463893	882788	452647	236650	190690	494913	1038874	503372	385895	387243	930873	505251	383714	455407	876866	503394	410018	461396	471159	14284	495050	175062	898755	495084	198874	413706	14288	14287	504674	503138	426372	495070	1000592	432303	515662	996970	927089	4141532	408492	851682	14289	1002634	503236	503197	968342	2751958	419366	948830	424038	505311	415160	503387	239292	462461
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__	1764554	256323	180082	114697	3757799	1726408	531353	528653	741298	4350566	157664	851323	4442459	4369272	3064113	3349141	661933	522582	290566	306160	4359027	510205	158207	3349140	157681	4329571	343433	1952	518538	4441084	306330	3970656	314915	3449121	4426873	3970651	293797	1109552	195123	513985	807034	314406	191251	4372003	847228	689975	921813	514363	2016294	520864	735609	4449803	4477019	846127	918187	2058521	3349138	104141	157481	523418	150494	230553	196219	335447	342873	3404369	4003061	198866	564989	276149	3970657	1800048	520075	28974	1729249	4368575	180731	304539	3009852	4335624	4418496	4308591
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__indistinctus	4331760
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus	3750373	4435690	14030	287368	195385	259263	185854	174360	185891	1830364	260088	198690	268297	4162582	4423882	175491	164872	313144	4183249	263179	260246	363692	193749	263362	372906	4394763	186406	198490	185338	360015	175575	350664	186441	3044876	2797559	2901239	342761	307903	4388396	193853	295370	4338803	271590	259132	1109178	4344861	383971	187041	1624382	1713225	1551841	188333	185277	4384203	3320406	352008	268125	290398	180221	258969	260655	183174	348642	274317	985239	135625	193769	1917420	268487	184729	303076	266948	170056	2677481	233313	195421	196037	279026	181568	4472158	269103	306480	307640	4372625	259781	181683	4394801	262825	164719	3252949	192774	259056	180215	184810	267717	259379	68842	175998	308042	416286	197435	274095	262970	186332	2339949	210965	322112	187651	4432459	97294	267892	348376	349142	262633	173722	174162	258710	320373	294219	198423	179815	2686384	4343631	194780	292294	270758	1764594	4438330	3321163	266896	167910	4388174	263946	267298	2683271	4471604	308224	273240	1880021	320844	4426051	262869	289379	1805553	3702906	267335	1962281	54563	4407301	305880	4356342	297509	309916	182506	178022	187703	198251	2897332	352445	273776	319214	330116	1607371	174952	4414240	4338469	173192	270081	184695	270968	199753	262537	273179	3409376	351734	179279	191476	331575	191772	301872	4316995	276260	296869	195470	267996	110221	316037	194858	449417	182517	3578010	2134884	184903	185088	193358	270015	173914	263327	295075	275913	271585	3647536	191755	185570	1111191	190863	190908	182882	181707	4390754	273386	181237	336872	4476604	276941	321446	185294	264248	311564	268416	274603	2281172	261010	4416025	4339978	266946	176858	4395465	178026	4426874	335966	191583	1869566	299070	261918	259983	4383827	259087	178031	196889	259818	189176	275684	268797	335701	306914	198916	330564	265503	183495	272593	339092	190254	269107	175371	263138	176704	195215	188402	4385577	1696607	195444	342887	271191	355468	185441	188674	197503	4471130	342397	191683	271476	348948	190711	191205	196370	189403	317073	3376513	2005562	3633129	260529	4464473
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__bifidum	365385
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii	196125	1694319	212698	157562	174694	181575	178701	180665	370287	3186392	157272	523892	189937	178056	366068	190572	1748738	4328409	157969	4315979	344430	190675	365717	364563	176123	186328	530094	3532907	2365398	4324240	4386814	179987	3505877	191547	4427366	158438	51306	177217	341920	2110315	4342682	174846	157297	339087	165924	177775	3443092	179291	181139	520774	3468943	529940	2648624	3352106	1808742	183157	4387344	177878	197708	365842	189092	4320971	188126	180572	179649	299837	157224	310301	4469199	175789	188329	158599	197757	2490216	295485	4481131	292537	4476527	191660	177732	180806	3425516	184996	158632	192566	196902	195801	181056	189984	189091	175560	192048	514546	185769	199145	186392	199430	4414478	339494	176735	4374484	179720	2288387	174379	157594	4450605	522398	188646	194986	179686	361581	173986	3374533	515869	530327	518372	558789	201658	523768	174403	184000	176178	194933	183049	4027629	4410638	194383	4372581	86170	4403113	362968	185244	521191	369996	519269	589282	209760	4356623	175441	512154	354387	2771891	185324	192231	174356	515575	184386	196246	165926	514940	2648686	195855	1719314	184897	182149	190169	367433	1825542	184511	2365690	158001	179644	176151	158981	361966	554436	199702	174611	189064	294922	514523	175776	4336423	182609	185763	175570	521577	188379	526358	184678	362327	365372	185390	368127	186161	192936	4442387	361722	308333	198085	185734	4381430	315391	525698	208739	176115	3972831	1625579	520807	4464124	177602	1943669	181422	2713640	319275	3055367	147702	845544	527041	4368754	4282363	178385	4470582	194258	363358	362363	4359216	2544615	197361	340219	4478125	183864	4324882	180637	358008	2338105	522511	358654	362094	367417	4445028	189282	363442	4462107	3294726	194836	851865	185502	208332	157315	189708	525215	528715	3430935	132991	158057	2570980	4201971	183780	183676	181858	4370558	174439	158553	173135	359314	157308	158045	528652	4399793	368219	520413	3210506	157414	3991008	182986	4392487	198956	579587	522036	367232	4459645	206101
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__	191833	186624	3450454	176346	4373152	198494	541602	4396888	195512	3926480	4380813	181864	210092	508968	2978043	271593	195086	3484503	171399	176690	300235	178751	162623	182560	177515	4428949	531436	525474	191110	518613	4406161	1751298	528362	198542	4422039	301462	2497067	175612	28914	4336728	187265	180874	194053	254376	276643	392887	536831	1740283	322114	4335815	3694834	4418787	187447	701221	197760	3889296	195719	177055	199643	178766	195207	4072210	4375442	319197	3318103	169255	2065795	3152469	327730	197077	4332082	2724174	4344860	2438203	4379957	4414044	313593	3484497	4414488	197207	198597	365634	182065	3393191	365492	186471	261698	345542	4415649	3713805	187256	234314	2831841	308907	4363554	4371302	3192831	300222	4336731	4375894	328892	177237	174998	179472	4428953	185411	1928156	3014077	3964308	4429783	183198	193887	4128373	2250985	4481427	353124	2123719	186804	4394977	4289139	1860111	180654	3304796
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__formicigenerans	4232048	4015729	179665	524258	360962	3220518	1076587	4424063	2842308	3779973	2199489	188249	176722	197248	186652	173945
