name	value
citation	doi: 10.1016/j.cell.2012.10.052
qiita-id	NA
raw-data-url-forward-read	https://dl.dropboxusercontent.com/u/2868868/data/mockrobiota/mock-7/mock-forward-read.fastq.gz
raw-data-url-reverse-read	https://dl.dropboxusercontent.com/u/2868868/data/mockrobiota/mock-7/mock-reverse-read.fastq.gz
raw-data-url-index-read	https://dl.dropboxusercontent.com/u/2868868/data/mockrobiota/mock-7/mock-index-read.fastq.gz
target-gene	16S
target-subfragment	V4
study-type	marker-gene
sequencing-instrument	illumina-hiseq
physical-specimen-available	No
contact-email	Peter.Turnbaugh@ucsf.edu
