D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae;D_5__Streptococcus;D_6__Streptococcus pneumoniae GA47210	AIKY01000006.1.1391
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas;D_6__Pseudomonas aeruginosa	KC122693.1.1400	LN558613.1.1383	DQ889450.1.1520	FJ449846.1.1444	JQ665348.1.1377	AY738722.1.1493	KJ655541.1.1418	HQ455029.1.1462	HF934968.1.1432	HM439409.1.1408	KC247669.1.1396	KJ672347.1.1448	JN225415.1.1415	LK391633.1.1226	HQ179149.1.1406	KJ522924.1.1466	KJ156527.1.1461	KJ522923.1.1477	AF023659.1.1361	EF102842.1.1451	AY486371.1.1472	HM101170.1.1480	EF488968.1.1500	HQ455024.1.1430	HM439423.1.1428	JX313019.1.1441	HQ844441.1.1459	JQ900531.1.1438	JN849378.1.1466	GQ884172.1.1430	GQ217530.1.1437	AB933262.1.1327	KF029593.1.1452	FJ449845.1.1482	EU661692.1.1480	LN558606.1.1427	JX975466.1.1449	GU384267.1.1319	KF407990.1.1386	HQ018744.1.1338	JQ613503.1.1522	HF572851.1.1257	LK391625.1.1235	AY486357.1.1457	EF102840.1.1438	KF026285.1.1556	AX201178.5.1456	LN558607.1.1223	EF157824.1.1444	EU327890.1.1502	HQ455033.1.1450	LN558598.1.1386	HM439396.1.1420	LK391631.1.1252	LK391632.1.1223	EU661698.1.1490	KM205540.1.1405	AF023658.1.1372	EF102838.1.1429	GQ258634.1.1318
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter;D_6__Acinetobacter baumannii	LN611349.1.1434	KM408613.1.1529	LN611373.1.1250	KF699882.1.1459	KC461191.1.1302	LN611371.1.1300	LN611363.1.1300	LN611356.1.1200	HQ631949.1.1448	LN558649.1.1312	LN611374.1.1300	LN611364.1.1300	LN611365.1.1523	Z93435.1.1416	LN611357.1.1300	KM087101.1.1334	GU319977.1.1376	HQ917127.1.1285
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae;D_5__Streptococcus;D_6__Streptococcus mutans	AY188348.1.1545	KJ626365.1.1404
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus;D_6__Lactobacillus gasseri	GU454857.1.1416	KF661291.1.1434	AB976553.1.1512
D_0__Bacteria;D_1__Proteobacteria;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae;D_5__Helicobacter;D_6__Helicobacter pylori	X67854.1.1463
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales;D_4__Propionibacteriaceae;D_5__Propionibacterium;D_6__Propionibacterium acnes	JF289272.1.1306	JF289273.1.1276	AY741058.1.1346	JN700218.1.1287
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Rhodobacter;D_6__Rhodobacter sphaeroides	GQ429219.1.1416	X53853.508.1973
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Listeriaceae;D_5__Listeria;D_6__Listeria monocytogenes	KC852899.1.1510	JX682527.1.1460	KC852900.1.1516	JX682528.1.1451
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae 1;D_5__Clostridium sensu stricto 1;D_6__Clostridium beijerinckii	JN244676.1.1324
