name	value
citation	doi:10.1038/nmeth.2276
qiita-id	1686
raw-data-url-forward-read	https://dl.dropboxusercontent.com/u/2868868/data/mockrobiota/mock-4/mock-forward-read.fastq.gz
raw-data-url-reverse-read	https://dl.dropboxusercontent.com/u/2868868/data/mockrobiota/mock-4/mock-reverse-read.fastq.gz
raw-data-url-index-read	https://dl.dropboxusercontent.com/u/2868868/data/mockrobiota/mock-4/mock-index-read.fastq.gz
target-gene	16S
target-subfragment	V4
study-type	marker-gene
sequencing-instrument	illumina-miseq
physical-specimen-available	No
contact-email	NA
