Taxonomy	HMPMockV1.1.Even1	HMPMockV1.1.Even2	HMPMockV1.2.Staggered1	HMPMockV1.2.Staggered2
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter_baumannii_ATCC_17978	0.047593664	0.047593664	0.002143163	0.002143163
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_odontolyticus_ATCC_17982	0.047593664	0.047593664	0.000214316	0.000214316
Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_cereus_ATCC_10987	0.047593664	0.047593664	0.021431633	0.021431633
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_vulgatus_ATCC_8482	0.047593664	0.047593664	0.000214316	0.000214316
Eukaryota;Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Incertae_sedis;Candida;Candida_albicans_ATCC_MY-2876	0.000533049	0.000533049	0.000214316	0.000214316
Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium_beijerinckii_ATCC_51743	0.047593664	0.047593664	0.021431633	0.021431633
Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus_radiodurans_DSM_20539_	0.047593664	0.047593664	0.000214316	0.000214316
Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus_faecalis_ATCC_47077	0.047593664	0.047593664	0.000214316	0.000214316
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia_coli_ATCC_700926	0.047593664	0.047593664	0.214316331	0.214316331
Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter_pylori_ATCC_700392	0.047593664	0.047593664	0.002143163	0.002143163
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus_gasseri_DSM_20243	0.047593664	0.047593664	0.002143163	0.002143163
Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria;Listeria_monocytogenes_ATCC_BAA-679	0.047593664	0.047593664	0.002143163	0.002143163
Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter_smithii_ATCC_35061	0.047593664	0.047593664	0.214316331	0.214316331
Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria_meningitidis_ATCC_BAA-335	0.047593664	0.047593664	0.002143163	0.002143163
Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium;Propionibacterium_acnes_DSM16379	0.047593664	0.047593664	0.002143163	0.002143163
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_aeruginosa_ATCC_47085	0.047593664	0.047593664	0.021431633	0.021431633
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;Rhodobacter_sphaeroides_ATCC_17023	0.047593664	0.047593664	0.021431633	0.021431633
Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus_aureus_ATCC_BAA-1718	0.047593664	0.047593664	0.214316331	0.214316331
Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus_epidermidis_ATCC_12228	0.047593664	0.047593664	0.021431633	0.021431633
Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus_agalactiae_ATCC_BAA-611	0.047593664	0.047593664	0.214316331	0.214316331
Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus_mutans_ATCC_700610	0.047593664	0.047593664	0.000214316	0.000214316
Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus_pneumoniae_ATCC_BAA-334	0.047593664	0.047593664	0.021431633	0.021431633
