Taxonomy	MockHiSeq.even
Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;pseudocatenulatum;Bifidobacterium pseudocatenulatum	0.020833333
Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;bifidum;Bifidobacterium bifidum	0.020833333
Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Collinsella;intestinalis;Collinsella intestinalis	0.020833333
Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;indistinctus;Alistipes indistinctus	0.020833333
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;ovatus;Bacteroides ovatus	0.020833333
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uniformis;Bacteroides uniformis	0.020833333
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;cellulosilyticus;Bacteroides cellulosilyticus	0.020833333
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;thetaiotaomicron VPI-5482;Bacteroides thetaiotaomicron VPI-5482	0.020833333
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;vulgatus;Bacteroides vulgatus	0.020833333
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;thetaiotaomicron 3731;Bacteroides thetaiotaomicron 3731	0.020833333
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;thetaiotaomicron 7330;Bacteroides thetaiotaomicron 7330	0.020833333
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;xylanisolvens;Bacteroides xylanisolvens	0.020833333
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;intestinalis;Bacteroides intestinalis	0.020833333
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;eggerthii;Bacteroides eggerthii	0.020833333
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;dorei;Bacteroides dorei	0.020833333
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;finegoldii;Bacteroides finegoldii	0.020833333
Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;johnsonii;Parabacteroides johnsonii	0.020833333
Firmicute;Clostridia;Clostridiales;Clostridiales Family XI. Incertae Sedis;Anaerococcus;hydrogenalis;Anaerococcus hydrogenalis	0.020833333
Firmicute;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;colihominis;Anaerotruncus colihominis	0.020833333
Firmicute;Clostridia;Clostridiales;Lachnospiraceae;Blautia;luti;Blautia luti	0.020833333
Firmicute;Clostridia;Clostridiales;Lachnospiraceae;Blautia;hansenii;Blautia hansenii	0.020833333
