k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Mitsuokella; s__multacida	13811	470692	306124
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Providencia; s__stuartii	1116679	539854
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus	4471604	4471603	263179	322904	264569	264568	2464259	3052115	274491	339092	3679698	267335	167335	1551841	164872	275684	348772	182293	347549	175998	195729	4435690	195444	307452	4479887	194858	187041	174952	4388900	4361366	463648	2677481	260505	569207	186406	228686	4282302	210965	268487	3320406	4063474	2325822	4139471	4429455	174129	305880	4478512	4462416	269169	304999	303076	4426874	176308	2479014	187651	2897332	267996	185088	174314	358383	416286	3156520	195421	199753	188402	176858	266842	304103	198212	359412	173722	176704	184536	189176	344095	172220	269107	269103	1607371	259302	4344861	279026	264248	263737	3851393	173865	259781	193962	274399	3601770	330564	4322982	178374	555873	188090	410710	575399	259087	198690	294219	3392853	306480	1917420	2216521	197302	193702	3419664	562318	3157091	181845	260246	263138	261779	342397	3702906	174977	348642	271476	198916	4406232	198857	301872	260529	4481042	181666	1713225	1805553	68842	323424	3783179	4339978	4372625	183498	183495	4402081	181237	261720	1830364	263372	3578010	1921611	843693	193897	4338469	271191	2683271	183428	1758074	319214	307640	1764594	259132	273240	191755	2134884	308224	372770	182517	331575	4316995	4395465	199323	4476604	195470	2535521	4407317	3401807	259983	350664	4406226	4183249	270720	268297	355468	4343631	173922	333420	4439574	267298	4162582	263362	188333	191205	1895787	275034	267716	1828456	190863	3376513	173192	368262	54563	193853	178031	273776	182506	2281172	4362940	2797559	178851	4338803	256899	308042	4381759	4407301	577022	4410025	321408	266896	196889	170056	2686384	4420173	262869	190908	185570	253465	396230	270041	367610	266948	266946	173914	175575	4358973	189403	1869566	985239	1109178	196037	190711	150408	261013	261010	174360	4423882	191772	2953535	178026	178022	267503	340738	342887	1696607	167910	4407335	183327	348948	186749	326497	311564	192774	300499	181707	193300	3572894	358953	3252949	4298271	1880021	308565	183250	182631	183948	3633129	189474	274198	197435	1114415	4248867	188310	335966	1962281	4336564	270081	44883	363692	3433845	3433843	368191	663043	267717	348376	276260	552961	3278429	233313	181808	316037	183646	259818	4445864	296869	3044876	4394801	184810	2920317	4432459	262771	188860	4330142	3996373	270968	191583	4388174	185441	195215	4483366	336872	258711	317073	583406	196370	331803	342761	183248	270065	4018978	564805	191086	3647536	175491	188674	363436	357717	259263	260655	175371	1744265	3232644	193769	333775	264054	271585	185294	4400909	310803	2424149	4455571	258710	306914	4480550	360015	4472158	4471130	2797563	206424	307376	258969	316665	195439	4420639	229073	4420203	309370	186441	270758	195385	263946	181683	259379	4340719	4481420	185854	3161011	3359316	165146	183174	320844	1105836	4464473	263794	268416	184729	174162	4369812	265503	273862	4470786	3989849	185277	273386	181037	336448	182882	180221	188039	299070	2387025	4398511	287368	337992	262537	97294	1565017	27071	174464	273179	198434	271590	184903	1111191	449417	2953509	4383827	350032	272907	197503	198251	349142	330116	4356342	267892	2565881	192085	3111445	261918	3321163	4435054	135625	321446	4388396	2963627	164719	183191	193358	262825	543822	582811	274095	295782	277184	177090	313922	267105	276941	3826177	351734	3584775	401222	164034	4364241	274603	245108	272593	184695	259056	185891	2806899	198490	370162	307903	309916	268125	193749	313144	191476	2069792	4394762	4394763	198423	3750373	3409376	191135	2339949	197391	4438330	4412201	352008	179279	4384203	162216	318596	4390748	292294	181764	4426051	4409062	191683	372906	179815	268797	174841	180215	4390341	4416025	4087651	360831	571536	4414486	2911372	4366854	4366856	3641041	383971	185835	297509	263783	186332	4385577	289379	270015	180504	4471569	352445	310824	4334415	295075	187703	470969	4030829	1624382	2119414	274317	194780	2005562	4433829	262127	295370	320373	191246	190254	3982524	562693	260088	173379	14030	4290138	4414240	335701	2207546	2901239	386578	4371719	361624	321923	181568	588467	271968	4390754	262970	176963	262633	110221	2918718	273413	174676	290398	322112	318182	260401	586030	263327	188370	275913	190890	185338	4429446	585183
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__formicigenerans	175647	116123	176722	365459	4428022	275687	70405	178873	4393739	4401634	4232048	2842308	188249	185863	3769614	175159	198138	531566	4457603	524258	359355	186752	173945	351854	4424063	3779973	2199489	3094251	361166	4430704	3220518	2157494	1076587	309236	179665	261912	592412	4325013	360962	187707	197248	4015729	186652	199735	367457	179437	530953
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__	3690413	303230	174685	180140	587487	538668	4378512	192924	297031	368968	186242	195769	524733	366693	175163	3479429	357494	195135	194420	295910	288570	356883	4391753	3851391	190071	290672	582138	184981	184983	184984	369031	183708	178678	365732	186134	2032544	192854	515300	181814	310071	362193	193284	190732	4127463	197282	22923	353502	366641	350667	145575	289183	185098	362568	358824	358825	211501	178133	362751	185119	182464	314533	178449	185563	368493	183596	369728	360392	179615	296977	190162	186621	667273	175996	362687	192273	195723	288896	191113	190644	190648	527537	205541	145703	3760919	365251	361208	164909	164906	193061	178762	178767	350004	3896678	360052	622887	1628708	2137906	4328550	176519	180629	185805	188433	193040	365510	194063	199575	186717	4436182	512250	174956	174950	359771	188830	199436	338237	364274	296257	207907	4419925	131559	179401	370020	195064	181486	183940	521989	4392196	363842	367283	520938	360837	192699	192696	188151	736343	334203	578316	846997	4400568	187945	187946	292859	180414	3787356	518954	370338	369247	572180	187533	301849	178221	331850	185816	179356	194206	531582	189842	359785	363450	360909	360905	195807	198751	290146	258461	579443	223120	342380	289397	851322	517703	188085	189357	184882	569010	359865	585075	303226	4341428	185492	549857	3164695	3164696	4404507	198145	176193	187727	192937	192935	369881	196136	186256	194513	197402	514559	176424	175198	192479	327715	166647	199476	367878	296108	2736938	193666	192533	303313	366251	366259	214727	191734	184890	361065	180349	180346	519986	302262	529014	198545	198548	4468384	2656849	179531	179534	175326	179245	875629	186124	368235	194660	192840	192841	175541	365194	310069	363632	186084	339790	566997	358147	123477	361308	353162	532461	511591	368318	181226	4443780	574479	182933	179623	194124	532112	199495	196784	175988	175983	4339342	191104	193219	215274	335449	190282	189659	182308	517387	370164	185057	185059	187565	180633	343716	304108	194015	187885	187073	516792	368597	192073	293307	3806401	528892	445961	186992	186995	186994	186996	4458725	4460529	181330	181335	182012	653417	290286	325244	183210	183212	340910	301848	196407	196278	4384346	2565883	175308	179840	365455	189175	561069	358554	523471	339948	367338	187207	302947	631174	188935	589215	359520	181678	366941	646495	267030	267039	188209	183908	187952	33906	188781	4343221	514871	175447	381453	531675	299620	189571	174228	196255	368835	189838	187385	328615	575263	199010	190575	190576	193888	115703	195063	212381	191034	296007	213471	356999	567715	330566	2612241	179023	179025	174501	193484	302049	958556	588277	181117	173997	569004	174078	2713638	176001	162651	1109684	187437	188753	190092	174138	198156	206178	287539	177122	195332	180317	183374	176450	175183	199165	192460	336133	529473	187025	536078	174478	198454	362514	180336	315517	196723	187169	199202	198559	298716	184849	365714	186114	149666	4454027	178908	524444	190943	175296	4352657	359203	196724	362037	4474380	193704	180900	196942	566388	517282	204996	309147	318970	362916	184185	178588	196792	196797	177781	192219	192217	1513958	199745	367104	181844	363157	361226	357310	193041	125001	181411	181410	181417	362590	369478	294606	303794	2160382	369530	186733	307113	1128377	364581	220474	188811	178994	211712	180481	193337	195598	197979	131571	361448	181899	188680	188686	186828	186825	577644	4446453	3924208	189698	187239	4366468	458806	193828	365441	189102	194316	526184	186427	186423	312589	360810	174801	194595	3879095	517796	359557	567079	68845	183915	175559	175551	175555	193384	187491	518146	184774	185422	177714	2555595	187519	519261	183512	563401	184636	198636	364005	364009	4347652	366957	293685	328628	195822	349520	2804886	180905	325806	174492	186539	195408	214961	183824	179032	4363151	165452	185360	188068	4324208	4418857	584105	195093	197208	368933	179205	4343389	2874598	191306	3768338	316452	523391	1078587	198915	317205	190876	184160	180327	182785	176327	171873	182864	531865	179557	584218	1740161	194648	344947	204270	366771	178276	367302	178494	4359797	515449	362044	187891	357475	182514	134268	178162	175025	183843	193434	185144	178418	196603	368442	177834	587632	178593	259955	190151	526844	4443662	193150	192200	2035344	178329	195275	181836	193466	367039	192734	186883	4483907	529608	361546	237138	519063	302554	189671	196791	362587	191601	436032	105123	183308	186489	923764	194033	199541	194958	194863	174900	369839	300479	296993	3014078	177594	364224	364222	195581	181297	1006311	182178	525378	367160	515587	534329	188698	188690	77514	184416	318760	2849987	189682	150230	177659	197670	189965	342613	186585	208548	188953	527382	181617	544532	369883	195295	183967	3014082	174163	187932	180447	180446	175548	1003596	308191	173888	183903	204537	175113	195972	297149	287668	363464	575281	197093	354095	340251	367934	1861639	182766	292394	176381	2868338	177176	816300	588609	174624	183793	189307	300978	300975	291870	368054	170957	4418862	194745	187757	319476	177101	331832	187271	209765	188384	188388	204058	190370	291424	357793	348259	361773	191740	175722	357853	190865	525872	337080	105440	2859418	176330	177037	4399777	516385	229941	324163	179549	179812	195751	191183	190633	363601	197878	181957	360027	127635	190205	2803060	189871	330761	179224	176561	115149	363945	184204	362488	178408	178402	187801	360417	206451	191696	177530	195528	195520	195522	29867	358086	185809	542602	357334	198983	186896	4414725	185745	357119	176244	360528	672431	194380	347337	188479	188472	183866	187361	4380433	3604981	174891	28218	291392	167701	289535	301683	194814	183050	365854	297836	525222	177588	4389569	364234	369982	191978	519712	429460	528650	178301	360776	554006	290371	187583	213624	527645	177743	179971	365341	294439	4312407	187210	307761	424270	183936	189125	341501	185920	189971	366846	180299	208557	1006020	181165	165102	367363	299419	188941	188945	305387	517777	4081014	4450979	174589	2676488	367790	191900	3717608	303452	189400	173896	187311	196143	196141	196144	187578	347115	188659	174270	209102	319283	196262	341433	579563	185853	292345	177009	177005	356820	191213	192542	338626	188283	186329	290696	193532	193535	192665	4336559	363029	362958	182596	4392841	361151	180276	189310	206316	174043	174044	175589	192834	519884	176742	329305	361805	261016	4403691	192973	192979	197221	197222	190706	3919586	190491	189866	192433	194495	4482637	174365	357781	514948	529400	363338	191779	175711	369786	559418	299302	299304	295356	184105	183651	4341635	184979	178501	532164	326336	199275	199279	289863	186169	186166	2414714	327149	196082	196083	178932	185400	193972	358181	699804	593367	360037	191545	169303	178020	172582	184391	920501	179235	185812	188525	181511	189726	163808	363952	1918387	189849	183002	368425	589822	298879	587619	195517	176687	222557	4434591	1601688	192148	195495	289859	178736	198999	198990	185759	185750	290219	180736	791551	3577348	370413	370410	196532	333764	518389	189220	196878	186748	194803	194805	177234	195200	221797	196932	181705	310999	193302	1710313	174763	187597	185900	180025	368604	52624	198868	333298	197716	327581	183252	180780	180785	198272	198276	4338156	149178	367239	189131	4414162	327210	193598	193592	342303	2788682	174593	162905	172308	581094	193411	353942	328194	367631	321197	174143	365090	573208	586114	175480	194578	188668	570507	175133	195286	190470	195186	188318	1105411	196297	185840	366923	197481	267626	192559	195028	188293	198569	581977	367919	579127	185257	182702	181732	174545	358798	174348	264113	178607	175222	186022	4064498	196180	297099	193771	194485	194486	404292	4192911	174370	149909	167094	333789	361754	369716	182413	573189	571122	360368	298896	182996	183644	178517	178964	1104433	364141	199243	182818	363180	2526018	190610	355807	194615	187688	13995	178941	292713	299705	175538	543648	357504	314380	165922	182568	4440110	194586	358843	4142054	358128	341953	177941	184228	183516	179734	187826	583089	1111084	184635	515139	2616543	369667	197484	190100	190108	187192	4434664	195500	365941	298610	331667	338321	362009	193208	192154	192157	195066	179473	361575	291179	585932	519010	189605	195126	365431	293686	183339	591745	531303	179788	365574	365575	184545	177206	364359	365001	513935	192746	2484337	357168	292396	221784	964907	179080	367702	862634	189491	189498	523909	517547	175424	365430	174775	105744	183564	189517	186869	185511	370081	4386293	365327	365324	189067	368899	115104	189895	184561	358488	195080	186119	194353	177335	193582	4409955	143819	183852	183857	190956	366418	173975	191961	330947	179715	174150	194540	176211	174296	2385035	216770	292633	182133	311776	199065	205606	325848	193550	181695	185240	517187	4321810	179077	178382	303169	190987	198532	177884	4110161	198084	198083	174187	4296217	369987	366601	195994	210166	292588	183425	194993	184288	185361	589786	4431796	369769	184126	177840	182989	361084	552432	198392	367708	176677	324139	179593	1104748	287700	178664	195767	297983	198059	190605	1611482	336761	178954	193372	193371	314809	199687	3465915	182297	360014	287978	672795	211432	145401	185020	366340	197317	181531	531200	184238	179729	4327141	368400	187002	187008	174997	205950	524202	591594	188875	197497	190118	588741	528843	193115	350759	195699	297970	193210	364958	370062	4261181	554160	198128	185731	3185345	181444	130214	138736	531373	370183	294507	184349	325722	1834289	183340	196554	529295	321453	508227	174869	359044	364636	199501	526044	136062	369878	317899	578354	1926054	291733	186938	173817	174747	2311336	183577	183570	185521	199157	364060	189053	188590	320032	170343	4093636	195095	188200	296729	185951	358537	102704	1793416	4462867	4429301	4429302	296375	586526	192785	518016	366422	175509	150132	181265	176157	540548	2600155	368950	368958	4347565	168901	31735	174289	195932	311080	195166	187399	363426	163825	145126	176008	171550	366237	190027	333694	185279	366559	182728	182727	181036	576529	320786	190991	198503	361186	188031	188037	207039	187618	197352	197354	196007	192392	361855	194705	187796	358100	592098	180898	326337	590060	212982	363735	210110	191468	362389	305997	4465907	360460	184290	175762	369772	303001	535306	4179572	185284	4435236	300629	290979	538947	186675	187103	839713	176601	190677	208063	365207	360182	175825	361273	366727	176974	197838	191062	182261	208184	174530	517348	331053	182542	207390	4407278	189716	177928	358333	194054	346738	364109	197502	197504	177552	194883	187035	358685	302830	199400	193367	194967	312986	198226	364164	519170	292735	364953	335577	262919	189588	175586	311806	197792	187289	193485	512682	179807	368765	184276	188102	336948	293742	4433416	4430143	230741	367456	180423	180426	181779	193356	180193	180190	192198	326936	182083	526556	218995	2702262	196211	580087	189048	532203	189877	287445	188588	186524	186528	360974	193842	295085	529825	328929	360348	185969	194371	4330229	214932	357606	357609	325957	190938	366624	661266	192794	644796	516988	183145	183144	370278	186383	534244	188719	585201	192904	196105	194523	363796	175955	3767936	345473	315958	360986	194234	195884	145138	363348	313958	342745	1051346	174433	190808	581773	180376	180378	4348388	2137745	179057	4359667	4409860	3898650	359722	188000	316907	184800	175356	174009	187602	197346	176755	176274	361849	179866	186056	169401	560168	312530	193744	413935	191475	361740	361701	590423	744885	182448	178462	366212	196656	175754	187342	198420	177861	362466	362856	563008	3450453	4375920	365781	292228	175834	361269	362108	191076	191078	181927	208192	177257	296441	316257	370134	370135	185000	164573	512666	232108	179274	180608	51634	99891	357284	176885	777326	198246	187021	4405203	2796164	292310	523515	188850	196946	199410	297856	191628	227161	22899	643018	181797	365121	178884	195552	198950	198951	333107	185655	4462857	188805	194193	71965	189998	99566	290099	111427	359513	549635	193467	329274	359493	317636	173173	848081	299757	192072	191846	186281	197094	365429	584078	4413441	292864	368036	369342	364048	196200	185836	322087	198735	193852	367279	187431	147105	177349	345665	227418	335854	177461	361619	298632	4410027	209110	370397	183055	180506	847040	302090	357187	176070	175528	187468	187460	582951	197246	197244	368978	470967	183585	366682	328717	775611	175178	190431	198646	4296211	566538	185883	195891	294188	196332	363359	3340920	191710	351067	174426	356758	198487	331253	2256427	214669	4433827	368397	330059	360033	295475	184048	184046	642922	185394	170870	178646	175345	4210929	180943	3600225	573379	176089	213529	306646	195606	4440182	186061	309966	190250	2582660	351299	149236	196236	4455370	191395	193731	516001	175065	290714	357971	357975	174332	174333	182450	197741	183604	183601	184926	300607	4483774	290911	194990	194991	170323	516322	81152	195937	364441	175391	197992	357268	293543	198066	216561	4452600	177421	173077	194591	197818	165886	4337184	181934	181930	191250	182246	312737	177062	3138990	4208927	176505	180615	197652	342468	177905	306199	365502	197524	199587	187053	365076	528935	188820	191633	199582	191139	2407285	185926	4361189	197928	179745	187702	193268	317113	187380	179436	198922	182077	360660	174716	179989	198805	71830	1145016	739239	177617	149110	192424	368748	173226	287339	336432	204681	1729364	43588	364660	181670	181675	164739	181756	81272	567188	182107	360717	360711	360718	4095655	369252	216807	2297128	3753270	183523	183528	2730972	367585	193946	4477044	196235	301083	293153	194213	194217	183287	197740	189851	510664	358441	198325	344488	148279	188231	189183	199253	180493	192634	203721	183044	183040	4369382	4462739	365167	1066585	198584	344486	181172	333024	318900	175353
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__	135947	4322379	2065341	199106	194424	272479	1770404	181560	335910	4337981	727140	368228	972100	14069	4354857	194734	4431595	305820	357449	295629	520146	524122	538837	176201	530282	199313	182943	4369794	179617	327083	175389	195728	190641	29079	589475	349236	527294	928569	230252	2876160	194065	328422	517154	71089	522464	523731	188194	4478815	292336	126767	3090048	607540	519142	530708	528157	828776	177984	516191	529290	222721	4307633	678143	520534	570683	509842	530475	263704	176129	327839	820362	193975	245596	177362	114970	182968	4341193	191993	179677	197630	518460	187728	655876	361964	3475273	522063	199228	1646166	350398	185235	573803	176300	175320	324985	158563	300123	4478606	4478605	195669	339791	511253	209524	3541299	4418252	178146	528320	178433	199300	3160508	179626	296960	194123	199491	1105328	192263	181853	360147	1133438	1061437	372622	95597	181425	1130781	1904161	527407	4310265	72606	178481	4413165	328438	833216	263808	386216	259593	1803030	185546	517498	4194837	192465	574263	4442213	48887	198829	269576	333259	186592	185667	185664	185631	266621	4316573	222733	181672	4405104	593686	186969	325588	188621	188625	300297	193969	297165	1112936	197603	324615	818838	199013	100450	312317	352747	196971	290502	185312	329356	174137	540532	1107586	591540	265576	752354	565563	311114	521604	176296	183680	178559	198555	2637276	178557	2510541	660214	332846	311206	212878	4450516	271449	366299	178421	188079	194971	297574	297575	516298	325126	578511	198373	4374193	1856438	192218	1678333	261111	179377	4428676	653533	510169	194001	4391085	186731	517170	194008	175942	192066	197971	515594	222851	72481	301879	184525	300254	181348	289245	4390266	208571	300596	561193	365093	68840	343981	173934	4307265	4307264	184770	191881	541647	763697	3745959	148304	197112	536281	194261	181437	191238	191236	4250085	519490	520275	367688	525705	301910	183781	188066	510573	425675	319153	573289	198126	1106830	187748	192958	271097	199052	177111	1139736	199158	198688	844645	519545	190875	4402978	531052	294709	178682	198018	544146	208901	525606	178165	4307544	521074	299398	3425927	3425924	302864	300647	803021	117787	194104	191687	186614	195532	341899	194693	2245543	19446	686087	160750	301100	20421	187356	524079	178879	4319479	259989	272942	328993	300952	367755	833381	77516	288747	177754	179946	278018	184553	321304	275964	4346424	269496	197675	713689	355460	306288	4410369	3462417	180449	352507	518984	301282	345801	189419	197022	215744	172622	185861	337054	849653	336247	270145	4474180	4348358	185765	4382003	184025	183799	182681	184120	323786	23653	179372	764292	4339830	529417	273278	179137	651044	519459	308983	274455	176336	14101	184096	186174	196097	305920	1109750	289658	542857	4367501	382721	99824	4454564	300759	261381	1107057	182903	3272759	4459156	349077	185741	4425669	3150552	186780	528067	137353	520231	194877	514117	174912	196929	685934	177586	313495	195435	180791	187212	326833	520973	2729100	180555	260787	182621	183973	174625	315309	266539	825201	279487	530960	195196	267514	303412	341730	521401	3401744	556240	181894	294791	188047	174045	510559	4376453	186319	192139	266392	4139860	191081	194758	2400907	366623	318651	269828	588414	1085274	175717	3876354	199276	174099	195744	567961	417458	196087	514272	529463	209741	655725	47862	350577	304154	144778	397065	4350702	521257	3325991	365349	223895	233648	321331	4481948	211795	187185	517035	529180	3736962	357321	189611	32228	338987	182343	553150	3141342	189797	147195	332411	743919	538611	353577	262990	1107327	343422	189130	177301	310541	188974	188973	4421997	312835	531772	189478	77449	186238	194572	197003	195189	197127	196290	526248	1761073	261841	525437	526164	4419650	518717	302128	754549	232283	524797	742418	176494	216009	355318	3699347	530194	517212	774047	4302724	4452297	178514	261290	176357	4348263	366721	293508	261153	159911	175846	4322534	182289	237273	291890	179737	3325984	520734	362959	527413	177518	528833	193163	177493	842596	4308498	2752425	184357	4441688	185609	268215	340572	523553	306200	266726	513930	321907	290350	302437	264306	25995	185519	300399	515129	177760	177761	177765	179911	1138850	192530	194359	579188	195324	313387	526159	354254	4365156	231128	49521	268424	3377770	263074	260496	198252	106366	525789	100506	367889	733028	528217	199066	525429	525420	193551	114994	177201	180393	181047	557137	1126322	174559	190984	184821	328055	187782	187114	4430604	323473	108706	331099	313161	311141	4463709	316598	274400	177845	290943	198390	342200	221028	514250	174629	272361	4296775	4296772	3397591	1113649	3822361	4327890	179257	530433	552314	177933	206151	563315	179687	217060	1130562	175883	197897	4373309	275725	551141	182056	515632	3325759	196859	196850	1062229	328453	524038	185703	4471854	175438	184656	522667	526449	516068	259772	508897	311610	529764	182538	1587376	192060	986484	173969	181269	189450	189459	300095	4309509	199042	194557	177172	262227	199137	547913	289161	195162	194417	641987	199077	190599	205613	291512	456774	32471	274704	109798	178621	178629	174019	1110690	323365	532832	195628	835283	344803	369502	3910530	323463	266062	521586	4474844	828230	517239	230528	184901	184905	186674	342217	195716	441799	3931706	514241	178961	181918	272354	346606	337821	182545	179267	181543	264100	2876158	3648884	517182	523749	540943	179695	804526	289402	365118	833350	578437	178686	311390	182054	528106	186819	188573	189626	4314294	22602	532377	4308637	38211	185477	510186	4454896	37010	14099	510431	4373032	343934	367453	516519	4476330	186921	370305	185532	303844	197769	189878	184580	184581	190534	1144037	177359	289348	4322943	352455	166156	183533	183140	518795	187470	191565	531746	180120	306848	368118	341204	195929	322189	199081	178201	181025	183883	179055	325279	574172	278439	192878	261634	307722	324835	137004	2740950	193621	184050	646321	3252461	232030	4335402	515485	972434	308774	178970	182274	289349	296446	4341537	874183	423041	179273	3262332	363919	578857	274857	178882	826302	298392	185715	3745953	4369797	325625	4478901	196838	4329776	815573	4302392	4449239	523622	519866	584481	848088	182118	321774	186286	183558	672978	524635	583237	525112	198737	530940	177463	520237	4348571	183057	4379277	197249	233161	4406986	717509	178238	531825	4369249	172487	4323727	574601	187569	199600	288161	4477372	550996	149233	358834	189677	349375	274577	653719	508954	357834	528052	550270	524287	230503	188918	175397	576833	198067	322231	178984	177058	514389	2266460	4444215	178051	386087	668150	336205	4466707	726712	510133	187868	184013	707653	516624	4403632	178205	652388	124753	301079	309206	196426	102159	189152	311693	415635	188128	196053	647705	360710	585881	99173	183288	195876	295251	195044	258416	177525	175697	181176	553842
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__inulinivorans	1124170	208944
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Clostridium; s__ramosum	15712	851661
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	345899	300872	3119180	523246	183598	777794	294270	1110742	519417	521783	521784	523961	519998	518641	533320	715743	288174	203890	839865	524827	313121	927100	1108595	531904	779876	519342	302285	514769	115506	515870	531240	302983	532039	515162	4406684	4318208	245767	296597	512515	515982	586354	528314	323239	189284	516464	523522	518851	524100	348750	4354987	297113	293127	582564	4406933	4410166	521915	4420980	849544	589891	518747	532477	517908	195206	531699	4451171	4352452	519980	176675	339221	123983	4309368	511256	522907	4482723	511597	4335001	519550	528329	360425	528620	298451	4415433	513870	3091637	4410567	119397	115991	287717	4383727	531254	513113	517143	184464	526701	589329	4295618	528890	843972	525355	525357	291058	365358	551635	530653	530650	526429	524124	848619	531370	196806	516453	4436552	329280	189432	294573	188629	4303701	338752	4326687	692019	38507	525880	362089	189521	191319	327728	2300731	295934	524891	4343476	615191	4306374	523498	520056	182798	300684	196729	4377046	308809	516837	525461	2888723	180825	524963	4319784	4319780	316362	301656	529311	4301001	4298748	511743	516332	515082	190025	526993	333074	532396	516225	545061	339561	610673	303503	194294	849060	151386	524116	512937	269138	925131	4439144	188921	558839	321875	524964	517619	328936	294560	3035308	294134	525582	523443	4304880	841502	513003	532413	1575991	299830	592140	291438	225945	519443	4456491	343094	4298648	4443159	1085984	1135163	324843	4301461	317337	845644	844594	520195	527874	344318	2255989	509703	4357680	4357682	293584	296519	518820	845072	844305	4440171	519069	538485	4327034	325046	532041	528488	524072	525239	519797	1986400	517996	292799	321308	338913	289257	850343	510759	525348	520294	520295	4408223	521520	517784	518150	530447	531614	364967	292640	523335	198786	529428	214609	321083	4324217	4301605	301253	186364	295554	329693	531173	517304	4436040	530230	515798	116450	4298650	523090	840771	4437108	519244	294250	846306	529271	329650	529337	300650	4308041	4459159	526623	515521	308048	530050	4341867	840914	577027	301923	2986753	520803	326482	4310644	525229	4446027	4446025	4303954	519101	513377	528783	845231	850370	4348607	354322	528818	519697	188652	523308	526174	526171	186974	529534	366506	530319	292921	294617	530487	843421	848314	509109	4347155	516151	530531	511813	523252	610859	526312	524531	588929	523121	196481	655310	848950	330205	4335530	356625	301626	524619	526437	525178	529185	728234	519007	528079	4412255	527333	517691	520595	520593	516565	521244	291752	517558	586062	513611	521957	843618	292041	528233	527203	520962	561194	4344909	592925	522627	4367810	850034	525064	196296	341421	2280817	297414	844726	515995	511401	521431	523487	521737	529505	588173	313329	511028	4398579	349786	122608	291409	521640	839972	539050	346938	516875	550372	301489	514269	515470	844466	516093	846327	723256	185170	512752	519458	72142	329728	516259	298841	360096	2037235	339457	4321532	191586	369435	4443944	298189	529745	189253	334392	510416	307154	291725	299764	4385666	4305534	844744	512004	529800	510703	520955	509636	525511	1974540	581089	632169	684861	4307105	4343156	302420	293939	4404224	294521	530597	292634	4437101	516894	178387	295421	843563	510530	187628	303283	524865	522853	4364958	531114	527941	514723	215670	336769	288795	3028550	182559	846333	181539	513417	520883	511730	560771	293717	517015	195574	4404826	525306	521356	296552	292707	846562	587839	516229	515945	4452449	654098	2550241	302911	511156	522413	348612	520573	312969	578496	517572	185522	568118	287476	336372	190526	195099	296374	523862	531755	300099	4314088	3285436	514512	197149	366904	513249	513245	314613	343590	198502	293843	514486	301421	307571	522948	522099	313152	349352	348298	302389	521513	210523	529345	4316972	531106	526801	117761	519915	515189	849493	515381	520785	520780	516731	302813	333028	645768	4372155	4412542	516274	337516	517068	531485	300106	186315	527286	513242	512960	306228	192723	509587	4388216	4388215	509878	580162	364074	3189210	513335	849535	363513	519768	527085	1031634	523851	527604	321145	560836	516236	526273	849625	294196	197763	521760	528130	328035	635544	521157	511418	515734	531139	300636	297270	522392	527516	588647	296442	531381	512781	532013	261330	515108	676089	522364	525322	526674	519166	850154	4459041	335566	298394	530725	4428120	290254	301048	1921615	350627	582363	309399	173565	533771	561151	753803	516530	178860	851016	4463414	905528	521203	629970	579740	526547	1045110	4324238	513326	4374240	4475169	530948	404901	4407964	845377	515539	4324243	519695	532450	592612	514575	517885	849779	189083	4411926	4411924	523357	331358	4445628	510855	291812	4307957	198733	845567	909561	339374	521175	566574	528303	842874	515712	2075910	531120	531121	1763824	522084	516325	323619	197994	195732	4313208	521199	347953	519347	524909	638461	518325	272155	529398	515170	523608	4409103	296243	546206	289983	530738	582888	342638	189358	528116	174831	526031	526034	522642	520866	518097	185647	2316611	321743	517822	183282	521450	521558	304851	519704
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__bifidum	365385	469852
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]; s__biforme	4434117	289480	470369	175475	524884	191739	193710	179620	146665	514773	194273	189835	530323	196727	297635	511747	190148	294138	291545	174066	4295707	189812	329820	291420	525241	511209	197105	656865	530120	183034	179018	523132	193623	191036	188442	527208	291787	180112	526774	193776	4398077	183161	175493	529011	576881	185023	4432094	182483	175799	4331880	362848	531210	185627	185530	177092	288326	149304	188407	509917	187336	274849	291210	177345	179515	288163	196647	4410938	515578	342467	174509	521444
